Cabela's North American Adventures,Fun Labs,Unreleased,Unreleased,"September 14, 2010",,[199]
Cabela's Outdoor Adventures,Activision,Unreleased,Unreleased,"September 8, 2009",,[200]
Cabela's Survival: Shadows of Katmai,Fun Labs,Unreleased,Unreleased,"November 1, 2011",M,[201]
Cabela's Trophy Bucks,Activision Value,Unreleased,Unreleased,Unreleased,C,
Caladrius Blaze,MOSS,"August 28, 2014",Unreleased,Unreleased,,[202]
Call of Duty 3,Treyarch,"June 14, 2007","March 23, 2007","November 17, 2006",,[203]
Call of Duty 4: Modern Warfare,Infinity Ward,"December 27, 2007","November 2, 2007","November 5, 2007",,[204]
Call of Duty Classic,Infinity Ward,Unreleased,"December 10, 2009","December 3, 2009",,[205]
Call of Duty: Modern Warfare 2,Infinity Ward,"December 10, 2009","November 10, 2009","November 10, 2009",,[206]
Call of Duty: Modern Warfare 3,"Infinity Ward, Sledgehammer Games","November 17, 2011","November 8, 2011","November 8, 2011",,[207]
Call of Duty: Advanced Warfare,"Sledgehammer Games, High Moon Studios","November 4, 2014","November 4, 2014","November 4, 2014",,[208]
Call of Duty: Black Ops,Treyarch,"November 18, 2010","November 9, 2010","November 9, 2010",3D,[209]
Call of Duty: Black Ops II,Treyarch,"November 12, 2012","November 12, 2012","November 12, 2012",3D,[210]
Call of Duty: Black Ops III,"Treyarch, Mercenary Technology","November 6, 2015","November 6, 2015","November 6, 2015",,[citation needed]
Call of Duty: Ghosts,Infinity Ward,"November 14, 2013","November 5, 2013","November 5, 2013",,[211]
Call of Duty: World at War,Treyarch,Unreleased,"November 13, 2008","November 11, 2008",,[212]
Call of Juarez: Bound in Blood,Techland,"July 23, 2009","July 3, 2009","June 30, 2009",,[213]
Call of Juarez: Gunslinger,Techland,"July 10, 2013","May 22, 2013","May 21, 2013",,
Call of Juarez: The Cartel,Techland,"October 13, 2011","July 22, 2011","July 19, 2011",,[214]
Calling All Cars!,Incognito Entertainment,"May 25, 2007","June 22, 2007","May 10, 2007",,[215]
"Capcom Arcade Cabinet (1942, 1943, 1943 Kai, Avengers, Black Tiger, Commando, Exed Exes, Ghosts 'n Goblins, Gun.Smoke, Hyper Dyne Side Arms, Legendary Wings, Pirate Ship Higemaru, Section Z, SonSon, The Speed Rumbler, Trojan, Vulgus)",Capcom,"February 19, 2013","February 20, 2013","February 19, 2013",,
Captain Morgane and the Golden Turtle,WizarBox,Unreleased,"March 16, 2012","March 29, 2012",,[216]
Captain America: Super Soldier,Next Level Games / Sega,Unreleased,"July 15, 2011","July 19, 2011",3D,[217]
Carnival Island,Magic Pixel Games,Unreleased,"October 18, 2011","October 18, 2011",M,[218]
Carnivores: Dinosaur Hunter HD,Vogster Entertainment,Unreleased,"December 18, 2013","September 10, 2013",,
Cars 2: The Video Game,Disney Interactive Studios,Unreleased,"June 22, 2011","June 21, 2011",3D,[219]
Cars 3: Driven to Win,Disney Interactive Studios,"July 20, 2017","July 14, 2017","July 13, 2017",,[220]
Cars Mater-National Championship,Rainbow Studios,Unreleased,"November 30, 2007","October 29, 2007",,[221]
Cars Race-O-Rama,Incinerator Studios,Unreleased,"October 30, 2009","October 12, 2009",,[222]
Cartoon Network: Punch Time Explosion XL,Papaya Studio,Unreleased,Unreleased,"November 15, 2011",,[223]
Cash Guns Chaos,Sony Online Entertainment,Unreleased,Unreleased,"November 17, 2006",,[224]
Castle Crashers,The Behemoth,"November 25, 2010","November 3, 2010","August 31, 2010",,
Castle of Illusion Starring Mickey Mouse,Sega,"September 4, 2013","September 4, 2013","September 3, 2013",,
Castle of Illusion starring Mickey Mouse (Genesis),Sega,Unreleased,"August 21, 2013","August 20, 2013",,[225]
CastleStorm,Zen Studios,"March 11, 2015","November 6, 2013","November 5, 2013",,
Castlevania: Harmony of Despair,Konami,"March 29, 2012","October 12, 2011","September 27, 2011",,
Castlevania: Lords of Shadow,MercurySteam / Kojima Productions,"December 16, 2010","October 8, 2010","October 5, 2010",,[226]
Castlevania: Lords of Shadow 2,MercurySteam / Kojima Productions,Unreleased,"February 28, 2014","February 25, 2014",,[227]
Castlevania: Lords of Shadow – Mirror of Fate HD,MercurySteam,"December 4, 2013","October 30, 2013","October 29, 2013",,
Catan,Game Republic,"December 18, 2008","May 12, 2010","June 15, 2010",,[228]
Cel Damage HD,Finish Line Games,Unreleased,"May 14, 2014","April 22, 2014",,
CellFactor: Psychokinetic Wars,Immersion Games,Unreleased,"May 28, 2009","June 4, 2009",,[229]
Catherine,Atlus Persona Team,"February 17, 2011","February 10, 2012","July 26, 2011",,[230]
Chaos;Child,5pb.,"June 25, 2015",Unreleased,Unreleased,,[231]
Chaos;Head – Love Chu*Chu!,5pb.,"November 22, 2012",Unreleased,Unreleased,,[232]
Chaos;Head Noah,5pb.,"November 22, 2012",Unreleased,Unreleased,,[233]
Chaos Code,FK Digital,"April 3, 2013","March 26, 2014","September 3, 2013",,
Chaotic: Shadow Warriors,Fun Labs,Unreleased,Unreleased,"November 17, 2009",,[234]
Champion Jockey: G1 Jockey & Gallop Racer,Koei,"September 22, 2012","September 2, 2012","November 8, 2012",M,[235]
Championship Sprint,Sony Online Entertainment,Unreleased,"June 29, 2007","May 31, 2007",,[236]
Chariot,Frima Studio,"May 27, 2015","May 6, 2015","May 5, 2015",,
Child of Eden,Q Entertainment,"October 6, 2011","June 17, 2011","October 6, 2011",3D  M,[237]
Child of Light,Ubisoft Montreal,"May 1, 2014","April 30, 2014","April 29, 2014",,
Chime Super Deluxe,Zoë Mode,Unreleased,"March 30, 2011","March 29, 2011",,
Cipher Complex,Edge of Reality,Unreleased,Unreleased,Unreleased,C,[238]
Chivalry: Medieval Warfare,Torn Banner Studios,Unreleased,"February 11, 2015","February 10, 2015",,
Choplifter HD,InXile Entertainment,Unreleased,"February 29, 2012","January 10, 2012",,
Choujikuu Yousai Macross: Ai Oboete Imasu ka - Hybrid Pack,Bandai Namco Games,"July 26, 2012",Unreleased,Unreleased,,[239]
Chroma Squad,Behold Studios,Unreleased,Unreleased,Unreleased,C,
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox Digital Entertainment,Unreleased,Unreleased,Unreleased,C,
Civilization Revolution,Firaxis Games,"December 25, 2008","June 13, 2008","July 8, 2008",,[240]
Clannad (video game),Prototype,"April 21, 2011",Unreleased,Unreleased,,[241]
Clash of the Titans,Bandai Namco,"May 28, 2010","May 28, 2010","May 28, 2010",,[242]
Class of Heroes 2G,Acquire,"July 15, 2010",Unreleased,"December 1, 2014",,[citation needed]
Clive Barker's Jericho,MercurySteam,Unreleased,"October 26, 2007","October 23, 2007",,[243]
Cloudy with a Chance of Meatballs,Ubisoft Shanghai,Unreleased,"September 11, 2009","September 18, 2009",,[244]
Coded Arms: Assault,Konami,Unreleased,Unreleased,Unreleased,C,[245]
Code Lyoko: Quest for Infinity,The Game Factory,Unreleased,Unreleased,Unreleased,C,
Colin McRae: Dirt •DiRTNA,Codemasters,Unreleased,"September 14, 2007","September 11, 2007",,[246]
Colin McRae: Dirt 2 •DiRT 2NA,Codemasters,"November 5, 2009","September 11, 2009","September 8, 2009",,[247]
College Hoops 2K7,Visual Concepts,Unreleased,Unreleased,"March 13, 2007",,[248]
College Hoops 2K8,Visual Concepts,Unreleased,Unreleased,"November 19, 2007",,[249]
Closure,Eyebrow Interactive,Unreleased,Unreleased,"March 27, 2012",,
Cloudberry Kingdom,Pwnee Studios,"March 26, 2014","July 31, 2013","July 30, 2013",,
Combat Wings: The Great Battles of WWII,CI Games,"March 27, 2012",Unreleased,Unreleased,,[250]
Comet Crash,Pelfast,"November 25, 2010","October 8, 2009","April 2, 2009",,[251]
Comix Zone,Sega Technical Institute,"August 31, 2011","August 17, 2011","August 23, 2011",,
Command & Conquer: Red Alert 3,EA Los Angeles,Unreleased,"March 27, 2009","March 23, 2009",,[252]
Conan,Nihilistic Software,"December 6, 2007","September 28, 2007","October 23, 2007",,[253]
Condemned 2: Bloodshot,Monolith Productions,Unreleased,"April 4, 2008","March 18, 2008",,[254]
Conflict: Denied Ops,Pivotal Games,"September 11, 2008","February 8, 2008","February 13, 2008",,[255]
Constant C,International Games System,"July 1, 2014","July 16, 2014","July 1, 2014",,
Contrast,Compulsion Games,"March 13, 2014","November 20, 2013","November 19, 2013",,
Coraline,D3 Publisher,Unreleased,Unreleased,Unreleased,C,
Cosmophony,Moving Player,Unreleased,"December 17, 2014","May 5, 2015",,
Costume Quest,Double Fine Productions,Unreleased,"October 20, 2010","October 19, 2010",,
Costume Quest 2,Double Fine Productions,Unreleased,"November 12, 2014","October 28, 2014",,
Counter-Strike: Global Offensive,Valve Corporation,Unreleased,Unreleased,"August 21, 2012",M,[citation needed]
CounterSpy,Dynamighty,"August 21, 2014","August 20, 2014","August 19, 2014",,
Crash Time 4: The Syndicate,Synetic,Unreleased,"February 28, 2011","February 28, 2011",,[256]
Crash Commando,EPOS Game Studios,Unreleased,"December 18, 2008","December 18, 2008",,[257]
Crash Time 5,Synetic,Unreleased,"September 28, 2012",Unreleased,,[258]
Crazy Machines Elements,FAKT Software,Unreleased,"August 24, 2011","January 10, 2012",,
Crazy Strike Bowling,Corecell Technology,Unreleased,"September 4, 2013","August 21, 2012",,[259]
Crazy Taxi,Hitmaker,"November 24, 2010","November 17, 2010","November 16, 2010",,
Create,EA Bright Light,Unreleased,"November 19, 2010","November 19, 2010",M,[260]
Crescent Pale Mist,Rockin' Android,Unreleased,"November 10, 2010","November 9, 2010",,
Cricket 07,EA Sports,Unreleased,Unreleased,Unreleased,C,
Crimsonland,10tons,Unreleased,Unreleased,"March 3, 2015",,
Critter Crunch,Capybara Games,Unreleased,"November 19, 2009","October 8, 2009",,[261]
Cross Channel: For All people,5pb.,"June 26, 2014",Unreleased,Unreleased,,[262]
Cross Edge,Compile Heart,"September 25, 2008","September 4, 2009","May 26, 2009",,[263]
Crysis,Crytek,"October 18, 2011","October 5, 2011","October 4, 2011",3D,[264]
Crysis 2,Crytek,"April 1, 2011","March 25, 2011","March 22, 2011",3D,[265]
Crysis 3,Crytek,"March 7, 2013","February 21, 2013","February 19, 2013",3D,[citation needed]
Crystal Defenders,Square Enix,"March 11, 2009","July 23, 2009","August 6, 2009",,[266]
The Cube,Funbox Media,Unreleased,"November 16, 2012",Unreleased,,[267]
Cubixx HD,Laughing Jackal,Unreleased,"August 17, 2011","September 20, 2011",,
Cuboid,Creat Studios,Unreleased,"February 5, 2009","January 8, 2009",,[268]
Cutthroats: Battle for Black Powder Cove,SCEA,Unreleased,Unreleased,"March 28, 2012",,[269]
CSI: Fatal Conspiracy,Ubisoft Montreal,Unreleased,"October 26, 2010","October 26, 2010",,[270]
CV Casting Voice,Bandai Namco Games,"June 19, 2014",Unreleased,Unreleased,,[271]
Cyberbike 2,EKO Software,Unreleased,"November 18, 2011",Unreleased,,[272]
